sample,reads,orf,mapped_reads,amplicons,gRNA_count,sgRNA_HQ_count,sgRNA_LQ_count,sgRNA_LLQ_count,gRHPT,sgRPTg_HQ,sgRPTg_LQ,sgRPTg_LLQ,sgRPTg_ALL,sgRPHT_HQ,sgRPHT_LQ,sgRPHT_LLQ,sgRPHT_ALL
SHEF-C9953,50000,ORF6,58857,89|90,1107,9,3,2,1880.82980783934,14.4399214209045,4.58715596330275,3.05810397553517,22.0851813597424,15.2912992507263,5.09709975024211,3.39806650016141,23.7864655011299
SHEF-C9953,50000,ORF7a,58857,91,82,0,0,1,139.320726506618,0,0,12.1951219512195,12.1951219512195,0,0,1.6990332500807,1.6990332500807
SHEF-C9953,50000,ORF8,58857,92,229,0,1,0,389.078614268481,0,4.36681222707424,0,4.36681222707424,0,1.6990332500807,0,1.6990332500807
SHEF-C9953,50000,N,58857,93|94,798,23,15,3,1355.8285335644,39.451114922813,28.6648849176274,5.14579759862779,73.2617974390682,39.0777647518562,25.4854987512106,5.09709975024211,69.6603632533089
SHEF-C9953,50000,N*,58857,95,216,0,0,1,366.991182017432,0,0,4.62962962962963,4.62962962962963,0,0,1.6990332500807,1.6990332500807
SHEF-C9953,50000,ORF10,58857,98,96,0,0,2,163.107192007748,0,0,20.8333333333333,20.8333333333333,0,0,3.39806650016141,3.39806650016141
SHEF-C9953,5000,ORF1a,5904,1|2,37,57,19,1,626.693766937669,53111.1111111111,19000,1000,73111.1111111111,965.447154471545,321.815718157182,16.9376693766938,1304.20054200542
SHEF-C9953,5000,S,5904,71|72,75,2,1,0,1270.32520325203,133.333333333333,16.6666666666667,0,150,33.8753387533875,16.9376693766938,0,50.8130081300813
SHEF-C9953,5000,ORF3a,5904,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-C9953,5000,E,5904,87,28,0,0,2,474.254742547425,0,0,71.4285714285714,71.4285714285714,0,0,33.8753387533875,33.8753387533875
SHEF-C9953,5000,M,5904,87,28,5,3,0,474.254742547425,178.571428571429,107.142857142857,0,285.714285714286,84.6883468834688,50.8130081300813,0,135.50135501355
SHEF-C9953,5000,ORF6,5904,89|90,113,1,0,1,1913.9566395664,23.2558139534884,0,14.2857142857143,37.5415282392027,16.9376693766938,0,16.9376693766938,33.8753387533875
SHEF-C9953,5000,ORF7a,5904,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-C9953,5000,ORF8,5904,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-C9953,5000,N,5904,93,59,3,2,1,999.322493224932,50.8474576271186,33.8983050847458,16.9491525423729,101.694915254237,50.8130081300813,33.8753387533875,16.9376693766938,101.626016260163
SHEF-C9953,5000,N*,5904,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-C9953,5000,ORF10,5904,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-CAAD7,100000,ORF1a,107688,1|2|3|4,3362,1251,547,68,3121.98202213803,19352.2327907361,8443.90249124877,1079.36507936508,28875.5003613499,1161.68932471585,507.948889384147,63.1453829581755,1732.78359705817
SHEF-CAAD7,100000,S,107688,71|72,1118,8,2,1,1038.18438451824,17.1175373134328,4.46428571428571,2.23214285714286,23.8139658848614,7.42886858331476,1.85721714582869,0.928608572914345,10.2146943020578
SHEF-CAAD7,100000,ORF3a,107688,84,601,0,0,1,558.093752321521,0,0,1.66389351081531,1.66389351081531,0,0,0.928608572914345,0.928608572914345
SHEF-CAAD7,100000,E,107688,87,454,5,2,12,421.588292103113,11.0132158590308,4.40528634361233,26.431718061674,41.8502202643172,4.64304286457173,1.85721714582869,11.1433028749721,17.6435628853726
SHEF-CAAD7,100000,M,107688,87|88,1169,51,26,2,1085.54342173687,111.53075998891,57.2687224669603,4.40528634361233,173.204768799482,47.3590372186316,24.143822895773,1.85721714582869,73.3600772602333
SHEF-CAAD7,100000,ORF6,107688,89|90|93,2385,9,8,0,2214.73144640071,99.2956547922967,88.8120975840274,0,188.107752376324,8.35747715622911,7.42886858331476,0,15.7863457395439
SHEF-CAAD7,100000,ORF7a,107688,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-CAAD7,100000,ORF8,107688,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-CAAD7,100000,N,107688,93|94,2604,81,40,2,2418.09672386895,45.5356430759415,22.0714427078872,1.06044538706257,68.6675311708912,75.217294406062,37.1443429165738,1.85721714582869,114.218854468464
SHEF-CAAD7,100000,N*,107688,95,472,0,0,1,438.303246415571,0,0,2.11864406779661,2.11864406779661,0,0,0.928608572914345,0.928608572914345
SHEF-CAAD7,100000,ORF10,107688,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-CAAD7,10000,ORF1a,10743,1|2,105,110,58,7,977.380619938565,18020.202020202,9353.53535353535,1166.66666666667,28540.404040404,1023.92255422135,539.88643768035,65.1587079959043,1628.96769989761
SHEF-CAAD7,10000,S,10743,71,47,2,0,0,437.494182258215,42.5531914893617,0,0,42.5531914893617,18.6167737131155,0,0,18.6167737131155
SHEF-CAAD7,10000,ORF3a,10743,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-CAAD7,10000,E,10743,87,44,1,0,2,409.569021688541,22.7272727272727,0,45.4545454545455,68.1818181818182,9.30838685655776,0,18.6167737131155,27.9251605696733
SHEF-CAAD7,10000,M,10743,87,44,5,4,0,409.569021688541,113.636363636364,90.9090909090909,0,204.545454545455,46.5419342827888,37.233547426231,0,83.7754817090198
SHEF-CAAD7,10000,ORF6,10743,89,11,0,1,0,102.392255422135,0,90.9090909090909,0,90.9090909090909,0,9.30838685655776,0,9.30838685655776
SHEF-CAAD7,10000,ORF7a,10743,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-CAAD7,10000,ORF8,10743,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-CAAD7,10000,N,10743,93|94,261,12,5,0,2429.48896956158,80.2486187845304,34.5994475138122,0,114.848066298343,111.700642278693,46.5419342827888,0,158.242576561482
SHEF-CAAD7,10000,N*,10743,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-CAAD7,10000,ORF10,10743,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-CAAD7,200000,ORF1a,215463,1|2|3|4,6660,2541,1090,124,3091.017947397,20990.9304114135,9021.37310181196,1034.87012238309,31047.1736356086,1179.32081146183,505.887321721131,57.5504843058901,1742.75861748885
SHEF-CAAD7,200000,S,215463,71|72,2238,22,14,1,1038.69341835953,23.159426552136,14.7062110274233,1.1001100110011,38.9657475905604,10.2105697962063,6.49763532485856,0.464116808918469,17.1723219299833
SHEF-CAAD7,200000,ORF3a,215463,84,1241,0,0,3,575.96895986782,0,0,2.4174053182917,2.4174053182917,0,0,1.39235042675541,1.39235042675541
SHEF-CAAD7,200000,E,215463,86|87|88,5299,16,4,27,2459.35497045896,17.4700864221597,4.47427293064877,29.4207260600315,51.36508541284,7.4258689426955,1.85646723567387,12.5311538407987,21.813490019168
SHEF-CAAD7,200000,M,215463,87|88,2340,103,54,3,1086.03333286922,114.78552266377,60.4026845637584,3.35570469798658,178.543911925515,47.8040313186023,25.0623076815973,1.39235042675541,74.258689426955
SHEF-CAAD7,200000,ORF6,215463,89|90|93,4859,26,13,1,2255.14357453484,151.423275198847,76.1627906976744,1.16279069767442,228.748856594195,12.0670370318802,6.03351851594009,0.464116808918469,18.5646723567387
SHEF-CAAD7,200000,ORF7a,215463,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-CAAD7,200000,ORF8,215463,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-CAAD7,200000,N,215463,93|94,5260,168,92,10,2441.25441491114,45.5343772633143,24.8510646410346,2.6048450117218,72.9902869160707,77.9716238983027,42.6987464204991,4.64116808918469,125.311538407987
SHEF-CAAD7,200000,N*,215463,95,920,0,0,1,426.987464204991,0,0,1.08695652173913,1.08695652173913,0,0,0.464116808918469,0.464116808918469
SHEF-CAAD7,200000,ORF10,215463,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-CAAD7,500000,ORF1a,538883,1|2|3|4,16684,6451,2755,282,3096.03383294704,20774.8221316445,8898.38926309537,909.062961141171,30582.274355881,1197.10586528059,511.242700177961,52.3304687659473,1760.6790342245
